ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	DIACL_ID	DIACL_CATEGORY	DIACL_NOTE
Carling-2017-97j-1	1			to plough	12476	Activities	
Carling-2017-97j-2	2			to sew	12477	Activities	
Carling-2017-97j-3	3			to sow	12478	Activities	
Carling-2017-97j-4	4			to spin (thread)	12479	Activities	
Carling-2017-97j-5	5			to weave	12480	Activities	
Carling-2017-97j-6	6			axe	12481	Agricultural tools etc.	
Carling-2017-97j-7	7			axle	12482	Agricultural tools etc.	
Carling-2017-97j-8	8			cultivated field	12483	Agricultural tools etc.	
Carling-2017-97j-9	9			furrow	12484	Agricultural tools etc.	
Carling-2017-97j-10	10			hub	12485	Agricultural tools etc.	
Carling-2017-97j-11	11			plough (noun)	12486	Agricultural tools etc.	
Carling-2017-97j-12	12			saw	12487	Agricultural tools etc.	
Carling-2017-97j-13	13			scythe	12488	Agricultural tools etc.	
Carling-2017-97j-14	14			sickle	12489	Agricultural tools etc.	
Carling-2017-97j-15	15			spade	12490	Agricultural tools etc.	
Carling-2017-97j-16	16			wagon	12491	Agricultural tools etc.	
Carling-2017-97j-17	17			wheel	12492	Agricultural tools etc.	
Carling-2017-97j-18	18			yoke	12493	Agricultural tools etc.	
Carling-2017-97j-19	19			apple	12494	Crops & fruit	
Carling-2017-97j-20	20			barley	12495	Crops & fruit	
Carling-2017-97j-21	21			flax	12496	Crops & fruit	
Carling-2017-97j-22	22			grain (generic)	12497	Crops & fruit	
Carling-2017-97j-23	23			grape	12498	Crops & fruit	
Carling-2017-97j-24	24			hops	12499	Crops & fruit	
Carling-2017-97j-25	25			rye	12500	Crops & fruit	
Carling-2017-97j-26	26			oats	12501	Crops & fruit	
Carling-2017-97j-27	27			turnip	12502	Crops & fruit	
Carling-2017-97j-28	28			wheat	12503	Crops & fruit	
Carling-2017-97j-29	29			bee	12504	Farm animals	
Carling-2017-97j-30	30			bull	12505	Farm animals	
Carling-2017-97j-31	31			calf	12506	Farm animals	
Carling-2017-97j-32	32			cat	12507	Farm animals	
Carling-2017-97j-33	33			cattle	12508	Farm animals	
Carling-2017-97j-34	34			chicken	12509	Farm animals	
Carling-2017-97j-35	35			cow	12510	Farm animals	
Carling-2017-97j-36	36			dog	12511	Farm animals	
Carling-2017-97j-37	37			donkey	12512	Farm animals	
Carling-2017-97j-38	38			duck	12513	Farm animals	
Carling-2017-97j-39	39			goat	12514	Farm animals	
Carling-2017-97j-40	40			hen	12515	Farm animals	
Carling-2017-97j-41	41			horse	12516	Farm animals	
Carling-2017-97j-42	42			kid	12517	Farm animals	
Carling-2017-97j-43	43			lamb	12518	Farm animals	
Carling-2017-97j-44	44			ox	12519	Farm animals	
Carling-2017-97j-45	45			pig	12520	Farm animals	
Carling-2017-97j-46	46			piglet	12521	Farm animals	
Carling-2017-97j-47	47			ram	12522	Farm animals	
Carling-2017-97j-48	48			rooster	12523	Farm animals	
Carling-2017-97j-49	49			sheep	12524	Farm animals	
Carling-2017-97j-50	50			copper	12525	Metals & materials	
Carling-2017-97j-51	51			gold	12526	Metals & materials	
Carling-2017-97j-52	52			iron	12527	Metals & materials	
Carling-2017-97j-53	53			leather	12528	Metals & materials	
Carling-2017-97j-54	54			silver	12529	Metals & materials	
Carling-2017-97j-55	55			stone	12530	Metals & materials	
Carling-2017-97j-56	56			wood	12531	Metals & materials	
Carling-2017-97j-57	57			fur	12532	Products	
Carling-2017-97j-58	58			grease	12533	Products	
Carling-2017-97j-59	59			honey	12534	Products	
Carling-2017-97j-60	60			mead	12535	Products	
Carling-2017-97j-61	61			meat	12536	Products	
Carling-2017-97j-62	62			milk	12537	Products	
Carling-2017-97j-63	63			salt	12538	Products	
Carling-2017-97j-64	64			wax (bees)	12539	Products	
Carling-2017-97j-65	65			wine	12540	Products	
Carling-2017-97j-66	66			wool	12541	Products	
Carling-2017-97j-67	67			autumn	12542	Seasons	
Carling-2017-97j-68	68			harvest	12543	Seasons	
Carling-2017-97j-69	69			spring	12544	Seasons	
Carling-2017-97j-70	70			summer	12545	Seasons	
Carling-2017-97j-71	71			winter	12546	Seasons	
Carling-2017-97j-72	72			ash	12547	Trees	
Carling-2017-97j-73	73			beech	12548	Trees	
Carling-2017-97j-74	74			birch	12549	Trees	
Carling-2017-97j-75	75			elm	12550	Trees	
Carling-2017-97j-76	76			oak	12551	Trees	
Carling-2017-97j-77	77			arrow	12552	Weapons etc.	
Carling-2017-97j-78	78			bow	12553	Weapons etc.	
Carling-2017-97j-79	79			knife	12554	Weapons etc.	
Carling-2017-97j-80	80			spear	12555	Weapons etc.	
Carling-2017-97j-81	81			sword	12556	Weapons etc.	
Carling-2017-97j-82	82			bear	12557	Wild animals	
Carling-2017-97j-83	83			bison	12558	Wild animals	
Carling-2017-97j-84	84			deer	12559	Wild animals	
Carling-2017-97j-85	85			eagle	12560	Wild animals	
Carling-2017-97j-86	86			fox	12561	Wild animals	
Carling-2017-97j-87	87			hare	12562	Wild animals	
Carling-2017-97j-88	88			jackal	12563	Wild animals	
Carling-2017-97j-89	89			leopard	12564	Wild animals	
Carling-2017-97j-90	90			lion	12565	Wild animals	
Carling-2017-97j-91	91			lynx	12566	Wild animals	
Carling-2017-97j-92	92			owl	12567	Wild animals	
Carling-2017-97j-93	93			rabbit	12568	Wild animals	
Carling-2017-97j-94	94			raven	12569	Wild animals	
Carling-2017-97j-95	95			snake	12570	Wild animals	
Carling-2017-97j-96	96			wild boar	12571	Wild animals	
Carling-2017-97j-97	97			wolf	12572	Wild animals	
