ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	DIACL_ID	DIACL_CATEGORY	DIACL_NOTE
Carling-2017-209b-1	1			all (of a number)	2001		
Carling-2017-209b-2	2			and	2002		
Carling-2017-209b-3	3			animal	2003		
Carling-2017-209b-4	4			ash(es)	2004		
Carling-2017-209b-5	5			at	2005		
Carling-2017-209b-6	6			back (of body)	2006		
Carling-2017-209b-7	7			bad	2007		
Carling-2017-209b-8	8			bark (of tree)	2008		
Carling-2017-209b-9	9			because	2009		
Carling-2017-209b-10	10			belly (abdomen, stomach)	2010		
Carling-2017-209b-11	11			big	2011		
Carling-2017-209b-12	12			bird	2012		
Carling-2017-209b-13	13			to bite	2013		
Carling-2017-209b-14	14			black (colour)	2014		
Carling-2017-209b-15	15			blood (n)	2015		
Carling-2017-209b-16	16			to blow	2016		
Carling-2017-209b-17	17			bone	2017		
Carling-2017-209b-18	18			breast	2018		
Carling-2017-209b-19	19			to breathe	2019		
Carling-2017-209b-20	20			to burn (intr.)	2020		
Carling-2017-209b-21	21			child	2021		
Carling-2017-209b-22	22			cloud (not fog)	2022		
Carling-2017-209b-23	23			cold (of weather)	2023		
Carling-2017-209b-24	24			to come	2024		
Carling-2017-209b-25	25			to count	2025		
Carling-2017-209b-26	26			to cut	2026		
Carling-2017-209b-27	27			day	2027		
Carling-2017-209b-28	28			to die	2028		
Carling-2017-209b-29	29			to dig	2029		
Carling-2017-209b-30	30			dirty	2030		
Carling-2017-209b-31	31			dog	2031		
Carling-2017-209b-32	32			to drink	2032		
Carling-2017-209b-33	33			dry (adj)	2033		
Carling-2017-209b-34	34			dull	2034		
Carling-2017-209b-35	35			dust	2035		
Carling-2017-209b-36	36			ear	2036		
Carling-2017-209b-37	37			earth (soil, ground)	2037		
Carling-2017-209b-38	38			to eat	2038		
Carling-2017-209b-39	39			egg	2039		
Carling-2017-209b-40	40			eye	2040		
Carling-2017-209b-41	41			to fall	2041		
Carling-2017-209b-42	42			far	2042		
Carling-2017-209b-43	43			fat (organic substance)	2043		
Carling-2017-209b-44	44			father	2044		
