ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	DIACL_ID	DIACL_CATEGORY	DIACL_NOTE
Carling-2017-87f-1	1			bull	6001	Farm animals	
Carling-2017-87f-2	2			cow	6002	Farm animals	
Carling-2017-87f-3	3			ox	6003	Farm animals	
Carling-2017-87f-4	4			cattle	6004	Farm animals	(collective term)
Carling-2017-87f-5	5			horse	6005	Farm animals	
Carling-2017-87f-6	6			donkey	6006	Farm animals	
Carling-2017-87f-7	7			sheep	6007	Farm animals	(collective term)
Carling-2017-87f-8	8			ram	6008	Farm animals	
Carling-2017-87f-9	9			lamb	6009	Farm animals	
Carling-2017-87f-10	10			goat	6010	Farm animals	
Carling-2017-87f-11	11			pig	6011	Farm animals	
Carling-2017-87f-12	12			piglet	6012	Farm animals	
Carling-2017-87f-13	13			hen	6013	Farm animals	
Carling-2017-87f-14	14			rooster	6014	Farm animals	
Carling-2017-87f-15	15			chicken	6015	Farm animals	
Carling-2017-87f-16	16			duck	6016	Farm animals	
Carling-2017-87f-17	17			dog	6017	Farm animals	
Carling-2017-87f-18	18			cat	6018	Farm animals	
Carling-2017-87f-19	19			bee	6019	Farm animals	
Carling-2017-87f-20	20			wolf	6020	Wild animals	
Carling-2017-87f-21	21			bear	6021	Wild animals	
Carling-2017-87f-22	22			wild pig	6022	Wild animals	
Carling-2017-87f-23	23			leopard	6023	Wild animals	
Carling-2017-87f-24	24			lion	6025	Wild animals	
Carling-2017-87f-25	25			fox	6026	Wild animals	
Carling-2017-87f-26	26			jackal	6027	Wild animals	
Carling-2017-87f-27	27			bison	6028	Wild animals	
Carling-2017-87f-28	28			hare / rabbit	6029	Wild animals	
Carling-2017-87f-29	29			snake	6030	Wild animals	
Carling-2017-87f-30	30			raven	6031	Wild animals	
Carling-2017-87f-31	31			eagle	6032	Wild animals	
Carling-2017-87f-32	32			wool	6033	Products	
Carling-2017-87f-33	33			fur	6034	Products	
Carling-2017-87f-34	34			honey	6035	Products	
Carling-2017-87f-35	35			milk	6036	Products	
Carling-2017-87f-36	36			salt	6037	Products	
Carling-2017-87f-37	37			wine	6038	Products	
Carling-2017-87f-38	38			mead	6039	Products	(i.e. based on honey)
Carling-2017-87f-39	39			hops	6040	Products	(Swe. humle)
Carling-2017-87f-40	40			beeswax	6041	Products	
Carling-2017-87f-41	41			meat	6042	Products	
Carling-2017-87f-42	42			grease	6043	Products	
Carling-2017-87f-43	43			to weave	6044	Activities	
Carling-2017-87f-44	44			to spin (thread)	6045	Activities	
Carling-2017-87f-45	45			to sew	6046	Activities	
Carling-2017-87f-46	46			to plough	6047	Activities	
Carling-2017-87f-47	47			to sow	6048	Activities	
Carling-2017-87f-48	48			wheat	6049	Crops & fruit	
Carling-2017-87f-49	49			barley	6050	Crops & fruit	
Carling-2017-87f-50	50			rye	6051	Crops & fruit	
Carling-2017-87f-51	51			oats	6052	Crops & fruit	
Carling-2017-87f-52	52			grain (generic)	6053	Crops & fruit	
Carling-2017-87f-53	53			turnip	6054	Crops & fruit	
Carling-2017-87f-54	54			apple	6055	Crops & fruit	
Carling-2017-87f-55	55			grape	6056	Crops & fruit	
Carling-2017-87f-56	56			flax	6057	Crops & fruit	
Carling-2017-87f-57	57			scythe	6058	Agricultural tools etc.	
Carling-2017-87f-58	58			sickle	6059	Agricultural tools etc.	
Carling-2017-87f-59	59			spade	6060	Agricultural tools etc.	
Carling-2017-87f-60	60			plough	6061	Agricultural tools etc.	
Carling-2017-87f-61	61			saw	6062	Agricultural tools etc.	
Carling-2017-87f-62	62			axe	6063	Agricultural tools etc.	
Carling-2017-87f-63	63			yoke	6064	Agricultural tools etc.	
Carling-2017-87f-64	64			wagon	6065	Agricultural tools etc.	
Carling-2017-87f-65	65			wheel	6066	Agricultural tools etc.	
Carling-2017-87f-66	66			cultivated field	6067	Agricultural tools etc.	
Carling-2017-87f-67	67			pasture	6068	Agricultural tools etc.	
Carling-2017-87f-68	68			(ceramic) pot	6069	Agricultural tools etc.	
Carling-2017-87f-69	69			summer	6070	Seasons	
Carling-2017-87f-70	70			autumn / harvest	6071	Seasons	
Carling-2017-87f-71	71			winter	6072	Seasons	
Carling-2017-87f-72	72			spring	6073	Seasons	
Carling-2017-87f-73	73			copper	6074	Metals & materials	
Carling-2017-87f-74	74			iron	6075	Metals & materials	
Carling-2017-87f-75	75			silver	6076	Metals & materials	
Carling-2017-87f-76	76			gold	6077	Metals & materials	
Carling-2017-87f-77	77			wood	6078	Metals & materials	
Carling-2017-87f-78	78			stone	6079	Metals & materials	
Carling-2017-87f-79	79			leather	6080	Metals & materials	
Carling-2017-87f-80	80			spear	6081	Weapons etc.	
Carling-2017-87f-81	81			bow	6082	Weapons etc.	
Carling-2017-87f-82	82			arrow	6083	Weapons etc.	
Carling-2017-87f-83	83			sword	6084	Weapons etc.	
Carling-2017-87f-84	84			knife	6085	Weapons etc.	
Carling-2017-87f-85	85			shield	6086	Weapons etc.	
Carling-2017-87f-86	86			army	6087	Weapons etc.	
Carling-2017-87f-87	87			battle axe	6088	Weapons etc.	
