ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	DIACL_ID	DIACL_CATEGORY	DIACL_NOTE
Carling-2017-104a-1	1			all (of a number)	1001		
Carling-2017-104a-2	2			ash(es)	1002		
Carling-2017-104a-3	3			bark (of tree)	1003		
Carling-2017-104a-4	4			belly (abdomen, stomach)	1004		
Carling-2017-104a-5	5			big	1005		
Carling-2017-104a-6	6			bird	1006		
Carling-2017-104a-7	7			to bite	1007		
Carling-2017-104a-8	8			black (colour)	1008		
Carling-2017-104a-9	9			blood (n)	1009		
Carling-2017-104a-10	10			bone	1010		
Carling-2017-104a-11	11			breast	1011		
Carling-2017-104a-12	12			to burn (intr.)	1012		
Carling-2017-104a-13	13			fingernail	1013		
Carling-2017-104a-14	14			cloud (not fog)	1014		
Carling-2017-104a-15	15			cold (of weather)	1015		
Carling-2017-104a-16	16			to come	1016		
Carling-2017-104a-17	17			to die	1017		
Carling-2017-104a-18	18			dog	1018		
Carling-2017-104a-19	19			to drink	1019		
Carling-2017-104a-20	20			dry (adj)	1020		
Carling-2017-104a-21	21			ear	1021		
Carling-2017-104a-22	22			earth (soil, ground)	1022		
Carling-2017-104a-23	23			to eat	1023		
Carling-2017-104a-24	24			egg	1024		
Carling-2017-104a-25	25			eye	1025		
Carling-2017-104a-26	26			fat (organic substance)	1026		
Carling-2017-104a-27	27			feather (not down)	1027		
Carling-2017-104a-28	28			fire	1028		
Carling-2017-104a-29	29			fish (n)	1029		
Carling-2017-104a-30	30			to fly	1030		
Carling-2017-104a-31	31			foot (not leg)	1031		
Carling-2017-104a-32	32			full	1032		
Carling-2017-104a-33	33			to give	1033		
Carling-2017-104a-34	34			good	1034		
Carling-2017-104a-35	35			green (colour)	1035		
Carling-2017-104a-36	36			hair (of head)	1036		
Carling-2017-104a-37	37			hand (not arm)	1037		
Carling-2017-104a-38	38			head (anatomic)	1038		
Carling-2017-104a-39	39			to hear	1039		
Carling-2017-104a-40	40			heart (organ)	1040		
Carling-2017-104a-41	41			horn	1041		
Carling-2017-104a-42	42			I (1sg)	1042		
Carling-2017-104a-43	43			to kill	1043		
Carling-2017-104a-44	44			knee	1044		
Carling-2017-104a-45	45			to know	1045		
Carling-2017-104a-46	46			leaf (botanics)	1046		
Carling-2017-104a-47	47			to lie (recline)	1047		
Carling-2017-104a-48	48			liver	1048		
Carling-2017-104a-49	49			long (adj)	1049		
Carling-2017-104a-50	50			louse (lice)	1050		
Carling-2017-104a-51	51			man (adult male human)	1051		
Carling-2017-104a-52	52			many	1052		
Carling-2017-104a-53	53			meat/flesh	1053		
Carling-2017-104a-54	54			moon	1054		
Carling-2017-104a-55	55			mountain	1055		
Carling-2017-104a-56	56			mouth	1056		
Carling-2017-104a-57	57			name	1057		
Carling-2017-104a-58	58			neck	1058		
Carling-2017-104a-59	59			new	1059		
Carling-2017-104a-60	60			night	1060		
Carling-2017-104a-61	61			nose	1061		
Carling-2017-104a-62	62			not	1062		
Carling-2017-104a-63	63			one	1063		
Carling-2017-104a-64	64			person (individual human)	1064		
Carling-2017-104a-65	65			rain (n)	1065		
Carling-2017-104a-66	66			red (colour)	1066		
Carling-2017-104a-67	67			road/path	1067		
Carling-2017-104a-68	68			root (botanics)	1068		
Carling-2017-104a-69	69			round	1069		
Carling-2017-104a-70	70			sand	1070		
Carling-2017-104a-71	71			to say	1071		
Carling-2017-104a-72	72			to see	1072		
Carling-2017-104a-73	73			seed (n)	1073		
Carling-2017-104a-74	74			to sit	1074		
Carling-2017-104a-75	75			skin (person's)	1075		
Carling-2017-104a-76	76			to sleep	1076		
Carling-2017-104a-77	77			small	1077		
Carling-2017-104a-78	78			smoke (n)	1078		
Carling-2017-104a-79	79			to stand	1079		
Carling-2017-104a-80	80			star	1080		
Carling-2017-104a-81	81			stone	1081		
Carling-2017-104a-82	82			sun	1082		
Carling-2017-104a-83	83			to swim	1083		
Carling-2017-104a-84	84			tail	1084		
Carling-2017-104a-85	85			that (deixis, distal)	1085		
Carling-2017-104a-86	86			this (deixis, proximal)	1086		
Carling-2017-104a-87	87			thou (2sg)	1087		
Carling-2017-104a-88	88			tongue (anatomical)	1088		
Carling-2017-104a-89	89			tooth (general)	1089		
Carling-2017-104a-90	90			tree	1090		
Carling-2017-104a-91	91			two	1091		
Carling-2017-104a-92	92			to walk	1092		
Carling-2017-104a-93	93			warm (of weather)	1093		
Carling-2017-104a-94	94			water (n)	1094		
Carling-2017-104a-95	95			we (1pl)	1095		
Carling-2017-104a-96	96			what?	1096		
Carling-2017-104a-97	97			white (colour)	1097		
Carling-2017-104a-98	98			who?	1098		
Carling-2017-104a-99	99			woman	1099		
Carling-2017-104a-100	100			yellow (colour)	1100		
Carling-2017-104a-101	101			child	1101		
Carling-2017-104a-102	102			we (1pl incl.)	1103		
Carling-2017-104a-103	103			you (2pl)	1104		
Carling-2017-104a-104	104			we (1pl excl.)	12370		
