ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	DIACL_ID	DIACL_CATEGORY	DIACL_NOTE
Carling-2017-97i-1	1			to plough	12378	Activities	
Carling-2017-97i-2	2			to sew	12379	Activities	
Carling-2017-97i-3	3			to sow	12380	Activities	
Carling-2017-97i-4	4			to spin (thread)	12381	Activities	
Carling-2017-97i-5	5			to weave	12382	Activities	
Carling-2017-97i-6	6			axe	12383	Agricultural tools etc.	
Carling-2017-97i-7	7			axle	12384	Agricultural tools etc.	
Carling-2017-97i-8	8			cultivated field	12385	Agricultural tools etc.	
Carling-2017-97i-9	9			furrow	12386	Agricultural tools etc.	
Carling-2017-97i-10	10			hub	12387	Agricultural tools etc.	
Carling-2017-97i-11	11			plough (noun)	12388	Agricultural tools etc.	
Carling-2017-97i-12	12			saw	12389	Agricultural tools etc.	
Carling-2017-97i-13	13			scythe	12390	Agricultural tools etc.	
Carling-2017-97i-14	14			sickle	12391	Agricultural tools etc.	
Carling-2017-97i-15	15			spade	12392	Agricultural tools etc.	
Carling-2017-97i-16	16			wagon	12393	Agricultural tools etc.	
Carling-2017-97i-17	17			wheel	12394	Agricultural tools etc.	
Carling-2017-97i-18	18			yoke	12395	Agricultural tools etc.	
Carling-2017-97i-19	19			apple	12396	Crops & fruit	
Carling-2017-97i-20	20			barley	12397	Crops & fruit	
Carling-2017-97i-21	21			flax	12398	Crops & fruit	
Carling-2017-97i-22	22			grain (generic)	12399	Crops & fruit	
Carling-2017-97i-23	23			grape	12400	Crops & fruit	
Carling-2017-97i-24	24			hops	12401	Crops & fruit	
Carling-2017-97i-25	25			oats	12402	Crops & fruit	
Carling-2017-97i-26	26			rye	12403	Crops & fruit	
Carling-2017-97i-27	27			turnip	12404	Crops & fruit	
Carling-2017-97i-28	28			wheat	12405	Crops & fruit	
Carling-2017-97i-29	29			bee	12406	Farm animals	
Carling-2017-97i-30	30			bull	12407	Farm animals	
Carling-2017-97i-31	31			calf	12408	Farm animals	
Carling-2017-97i-32	32			cat	12409	Farm animals	
Carling-2017-97i-33	33			cattle	12410	Farm animals	
Carling-2017-97i-34	34			chicken	12411	Farm animals	
Carling-2017-97i-35	35			cow	12412	Farm animals	
Carling-2017-97i-36	36			dog	12413	Farm animals	
Carling-2017-97i-37	37			donkey	12414	Farm animals	
Carling-2017-97i-38	38			duck	12415	Farm animals	
Carling-2017-97i-39	39			goat	12416	Farm animals	
Carling-2017-97i-40	40			hen	12417	Farm animals	
Carling-2017-97i-41	41			horse	12418	Farm animals	
Carling-2017-97i-42	42			kid	12419	Farm animals	
Carling-2017-97i-43	43			lamb	12420	Farm animals	
Carling-2017-97i-44	44			ox	12421	Farm animals	
Carling-2017-97i-45	45			pig	12422	Farm animals	
Carling-2017-97i-46	46			piglet	12423	Farm animals	
Carling-2017-97i-47	47			ram	12424	Farm animals	
Carling-2017-97i-48	48			rooster	12425	Farm animals	
Carling-2017-97i-49	49			sheep	12426	Farm animals	
Carling-2017-97i-50	50			copper	12427	Metals & materials	
Carling-2017-97i-51	51			gold	12428	Metals & materials	
Carling-2017-97i-52	52			iron	12429	Metals & materials	
Carling-2017-97i-53	53			leather	12430	Metals & materials	
Carling-2017-97i-54	54			silver	12431	Metals & materials	
Carling-2017-97i-55	55			stone	12432	Metals & materials	
Carling-2017-97i-56	56			wood	12433	Metals & materials	
Carling-2017-97i-57	57			fur	12434	Products	
Carling-2017-97i-58	58			grease	12435	Products	
Carling-2017-97i-59	59			honey	12436	Products	
Carling-2017-97i-60	60			mead	12437	Products	
Carling-2017-97i-61	61			meat	12438	Products	
Carling-2017-97i-62	62			milk	12439	Products	
Carling-2017-97i-63	63			salt	12440	Products	
Carling-2017-97i-64	64			wax (bees)	12441	Products	
Carling-2017-97i-65	65			wine	12442	Products	
Carling-2017-97i-66	66			wool	12443	Products	
Carling-2017-97i-67	67			autumn	12444	Seasons	
Carling-2017-97i-68	68			harvest	12445	Seasons	
Carling-2017-97i-69	69			spring	12446	Seasons	
Carling-2017-97i-70	70			summer	12447	Seasons	
Carling-2017-97i-71	71			winter	12448	Seasons	
Carling-2017-97i-72	72			ash	12449	Trees	
Carling-2017-97i-73	73			beech	12450	Trees	
Carling-2017-97i-74	74			birch	12451	Trees	
Carling-2017-97i-75	75			elm	12452	Trees	
Carling-2017-97i-76	76			oak	12453	Trees	
Carling-2017-97i-77	77			arrow	12455	Weapons etc.	
Carling-2017-97i-78	78			bow	12456	Weapons etc.	
Carling-2017-97i-79	79			knife	12457	Weapons etc.	
Carling-2017-97i-80	80			spear	12458	Weapons etc.	
Carling-2017-97i-81	81			sword	12459	Weapons etc.	
Carling-2017-97i-82	82			bear	12460	Wild animals	
Carling-2017-97i-83	83			bison	12461	Wild animals	
Carling-2017-97i-84	84			deer	12462	Wild animals	
Carling-2017-97i-85	85			eagle	12463	Wild animals	
Carling-2017-97i-86	86			fox	12464	Wild animals	
Carling-2017-97i-87	87			hare	12465	Wild animals	
Carling-2017-97i-88	88			jackal	12466	Wild animals	
Carling-2017-97i-89	89			leopard	12467	Wild animals	
Carling-2017-97i-90	90			lion	12468	Wild animals	
Carling-2017-97i-91	91			lynx	12469	Wild animals	
Carling-2017-97i-92	92			owl	12470	Wild animals	
Carling-2017-97i-93	93			rabbit	12471	Wild animals	
Carling-2017-97i-94	94			raven	12472	Wild animals	
Carling-2017-97i-95	95			snake	12473	Wild animals	
Carling-2017-97i-96	96			wild boar	12474	Wild animals	
Carling-2017-97i-97	97			wolf	12475	Wild animals	
