ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	DIACL_ID	DIACL_CATEGORY	DIACL_NOTE
Carling-2017-240c-1	1			maize, corn	4001	Agricultural produce	
Carling-2017-240c-2	2			sweet potato	4002	Agricultural produce	
Carling-2017-240c-3	3			manioc	4003	Agricultural produce	
Carling-2017-240c-4	4			tobacco	12139	Agricultural produce	
Carling-2017-240c-5	5			bean	12169	Agricultural produce	
Carling-2017-240c-6	6			chili	12170	Agricultural produce	
Carling-2017-240c-7	7			cotton	12171	Agricultural produce	
Carling-2017-240c-8	8			gourd	12172	Agricultural produce	
Carling-2017-240c-9	9			pumpkin	12173	Agricultural produce	
Carling-2017-240c-10	10			yam	12174	Agricultural produce	
Carling-2017-240c-11	11			potato	12175	Agricultural produce	
Carling-2017-240c-12	12			tapir	4004	Wild animals	
Carling-2017-240c-13	13			jaguar	4005	Wild animals	
Carling-2017-240c-14	14			armadillo	4006	Wild animals	
Carling-2017-240c-15	15			macaw	4007	Wild animals	
Carling-2017-240c-16	16			parrot	4008	Wild animals	
Carling-2017-240c-17	17			toucan	4009	Wild animals	
Carling-2017-240c-18	18			mutum, curassow	4010	Wild animals	
Carling-2017-240c-19	19			caiman	4011	Wild animals	
Carling-2017-240c-20	20			fish (n)	12151	Wild animals	
Carling-2017-240c-21	21			spider	12340	Wild animals	
Carling-2017-240c-22	22			butterfly	12341	Wild animals	
Carling-2017-240c-23	23			capybara	12342	Wild animals	
Carling-2017-240c-24	24			snake	12343	Wild animals	
Carling-2017-240c-25	25			ant	12344	Wild animals	
Carling-2017-240c-26	26			margay	12345	Wild animals	
Carling-2017-240c-27	27			larva	12346	Wild animals	
Carling-2017-240c-28	28			Brazilian tortoise	12347	Wild animals	
Carling-2017-240c-29	29			monkey	12348	Wild animals	
Carling-2017-240c-30	30			bat	12349	Wild animals	
Carling-2017-240c-31	31			paca	12350	Wild animals	
Carling-2017-240c-32	32			white-lipped peccary	12351	Wild animals	
Carling-2017-240c-33	33			collared peccary	12352	Wild animals	
Carling-2017-240c-34	34			rat	12353	Wild animals	
Carling-2017-240c-35	35			deer	12354	Wild animals	
Carling-2017-240c-36	36			agouti	12355	Wild animals	
Carling-2017-240c-37	37			guan bird	12356	Wild animals	
Carling-2017-240c-38	38			opossum	12357	Wild animals	
Carling-2017-240c-39	39			tinamou bird	12358	Wild animals	
Carling-2017-240c-40	40			white-throated tinamou	12359	Wild animals	
Carling-2017-240c-41	41			bird	12376	Wild animals	
Carling-2017-240c-42	42			star	4012	Celestial bodies	
Carling-2017-240c-43	43			sun	4013	Celestial bodies	
Carling-2017-240c-44	44			moon	4014	Celestial bodies	
Carling-2017-240c-45	45			water (n)	4015	Physical/natural world	
Carling-2017-240c-46	46			earth (soil, ground)	12137	Physical/natural world	
Carling-2017-240c-47	47			to burn (tr.)	12138	Physical/natural world	
Carling-2017-240c-48	48			tree	12207	Physical/natural world	
Carling-2017-240c-49	49			ash(es)	12208	Physical/natural world	
Carling-2017-240c-50	50			smoke (n)	12209	Physical/natural world	
Carling-2017-240c-51	51			fire	12210	Physical/natural world	
Carling-2017-240c-52	52			mountain	12211	Physical/natural world	
Carling-2017-240c-53	53			shore, bank	12212	Physical/natural world	
Carling-2017-240c-54	54			sea	12213	Physical/natural world	
Carling-2017-240c-55	55			ocean	12214	Physical/natural world	
Carling-2017-240c-56	56			lake	12215	Physical/natural world	
Carling-2017-240c-57	57			river, stream, brook	12216	Physical/natural world	
Carling-2017-240c-58	58			woods/forest	12217	Physical/natural world	
Carling-2017-240c-59	59			charcoal	12218	Physical/natural world	
Carling-2017-240c-60	60			country, land	12219	Physical/natural world	
Carling-2017-240c-61	61			lagoon	12220	Physical/natural world	
