ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	DIACL_ID	DIACL_CATEGORY	DIACL_NOTE
Carling-2017-127g-1	1			bull	12001	Farm animals	
Carling-2017-127g-2	2			cow	12002	Farm animals	
Carling-2017-127g-3	3			ox	12003	Farm animals	
Carling-2017-127g-4	4			cattle (collective term)	12004	Farm animals	
Carling-2017-127g-5	5			horse	12005	Farm animals	
Carling-2017-127g-6	6			donkey	12006	Farm animals	
Carling-2017-127g-7	7			sheep (collective term)	12007	Farm animals	
Carling-2017-127g-8	8			ram	12008	Farm animals	
Carling-2017-127g-9	9			lamb	12009	Farm animals	
Carling-2017-127g-10	10			goat	12010	Farm animals	
Carling-2017-127g-11	11			pig	12011	Farm animals	
Carling-2017-127g-12	12			piglet	12012	Farm animals	
Carling-2017-127g-13	13			hen	12013	Farm animals	
Carling-2017-127g-14	14			rooster	12014	Farm animals	
Carling-2017-127g-15	15			chicken	12015	Farm animals	
Carling-2017-127g-16	16			duck	12016	Farm animals	
Carling-2017-127g-17	17			dog	12017	Farm animals	
Carling-2017-127g-18	18			cat	12018	Farm animals	
Carling-2017-127g-19	19			bee	12019	Farm animals	
Carling-2017-127g-20	20			yearling	12020	Farm animals	
Carling-2017-127g-21	21			wolf	12021	Wild animals	
Carling-2017-127g-22	22			bear	12022	Wild animals	
Carling-2017-127g-23	23			wild pig	12023	Wild animals	
Carling-2017-127g-24	24			leopard	12024	Wild animals	
Carling-2017-127g-25	25			lion	12025	Wild animals	
Carling-2017-127g-26	26			fox	12026	Wild animals	
Carling-2017-127g-27	27			jackal	12027	Wild animals	
Carling-2017-127g-28	28			bison	12028	Wild animals	
Carling-2017-127g-29	29			hare	12029	Wild animals	
Carling-2017-127g-30	30			rabbit	12030	Wild animals	
Carling-2017-127g-31	31			snake	12031	Wild animals	
Carling-2017-127g-32	32			raven	12032	Wild animals	
Carling-2017-127g-33	33			eagle	12033	Wild animals	
Carling-2017-127g-34	34			deer	12034	Wild animals	
Carling-2017-127g-35	35			wool	12035	Products	
Carling-2017-127g-36	36			fur	12036	Products	
Carling-2017-127g-37	37			honey	12037	Products	
Carling-2017-127g-38	38			milk	12038	Products	
Carling-2017-127g-39	39			salt	12039	Products	
Carling-2017-127g-40	40			wine	12040	Products	
Carling-2017-127g-41	41			mead	12041	Products	(i.e. based on honey)
Carling-2017-127g-42	42			hops	12042	Products	(Swe. humle)
Carling-2017-127g-43	43			beeswax	12043	Products	
Carling-2017-127g-44	44			meat	12044	Products	
